days	index	term	rate
1	LIBOR	1Y	0.086945051653
2	LIBOR	1Y	0.0854011874093
3	LIBOR	1Y	0.084392644589
4	LIBOR	1Y	0.0876106092371
5	LIBOR	1Y	0.0823460219441
6	LIBOR	1Y	0.0828142786008
7	LIBOR	1Y	0.0872019137848
8	LIBOR	1Y	0.0800625628725
9	LIBOR	1Y	0.0808481909425
10	LIBOR	1Y	0.0823110755474
11	LIBOR	1Y	0.083841977914
12	LIBOR	1Y	0.0804491515432
13	LIBOR	1Y	0.0823327788574
14	LIBOR	1Y	0.0828644996189
15	LIBOR	1Y	0.0854429828401
16	LIBOR	1Y	0.0844278131575
17	LIBOR	1Y	0.0866113747899
18	LIBOR	1Y	0.0816796886264
19	LIBOR	1Y	0.0809299163803
20	LIBOR	1Y	0.08669036755
21	LIBOR	1Y	0.0880759097489
22	LIBOR	1Y	0.082288234702
23	LIBOR	1Y	0.0876249357977
24	LIBOR	1Y	0.0857521155102
25	LIBOR	1Y	0.0838921715866
26	LIBOR	1Y	0.0843248807928
27	LIBOR	1Y	0.0805034426501
28	LIBOR	1Y	0.0819965683268
29	LIBOR	1Y	0.0892032347372
30	LIBOR	1Y	0.0859269970167
31	LIBOR	1Y	0.0866069149305
32	LIBOR	1Y	0.0894741939542
33	LIBOR	1Y	0.0874344227543
34	LIBOR	1Y	0.0844680141958
35	LIBOR	1Y	0.0835823162422
36	LIBOR	1Y	0.080112756836
37	LIBOR	1Y	0.0894602046898
38	LIBOR	1Y	0.087878896297
39	LIBOR	1Y	0.0846451936909
40	LIBOR	1Y	0.0809794789336
41	LIBOR	1Y	0.080201911759
42	LIBOR	1Y	0.0816888579722
43	LIBOR	1Y	0.0807822585939
44	LIBOR	1Y	0.0823762555966
45	LIBOR	1Y	0.084187082249
46	LIBOR	1Y	0.0816118162471
47	LIBOR	1Y	0.0812274311567
48	LIBOR	1Y	0.0865421906487
49	LIBOR	1Y	0.0872819013395
50	LIBOR	1Y	0.0831232035361
51	LIBOR	1Y	0.0807551373626
52	LIBOR	1Y	0.0824050757371
53	LIBOR	1Y	0.0834128024532
54	LIBOR	1Y	0.0868340518662
55	LIBOR	1Y	0.0819725231591
56	LIBOR	1Y	0.0828135654733
57	LIBOR	1Y	0.0811193573689
58	LIBOR	1Y	0.0888467376865
59	LIBOR	1Y	0.0831431050026
60	LIBOR	1Y	0.0825922532146
61	LIBOR	1Y	0.0896325211735
62	LIBOR	1Y	0.0805201265628
63	LIBOR	1Y	0.0896366306543
64	LIBOR	1Y	0.0840912936003
65	LIBOR	1Y	0.0837479664639
66	LIBOR	1Y	0.0893359755979
67	LIBOR	1Y	0.0874023245276
68	LIBOR	1Y	0.0843245654797
69	LIBOR	1Y	0.0888357329912
70	LIBOR	1Y	0.0860482386498
71	LIBOR	1Y	0.0898536942663
72	LIBOR	1Y	0.0883301646695
73	LIBOR	1Y	0.0878313408858
74	LIBOR	1Y	0.0820720562604
75	LIBOR	1Y	0.0868253811669
76	LIBOR	1Y	0.0817752191479
77	LIBOR	1Y	0.0890681248331
78	LIBOR	1Y	0.0890579474902
79	LIBOR	1Y	0.0888154535853
80	LIBOR	1Y	0.0879171068226
81	LIBOR	1Y	0.0853710878809
82	LIBOR	1Y	0.0876222208762
83	LIBOR	1Y	0.0864095944608
84	LIBOR	1Y	0.0878508185931
85	LIBOR	1Y	0.0810558494165
86	LIBOR	1Y	0.0827081712908
87	LIBOR	1Y	0.087236874287
88	LIBOR	1Y	0.0814864644261
89	LIBOR	1Y	0.0856555875129
90	LIBOR	1Y	0.0809162995846
91	LIBOR	1Y	0.0885955820118
92	LIBOR	1Y	0.0810467308665
93	LIBOR	1Y	0.0872995458459
94	LIBOR	1Y	0.0809778518862
95	LIBOR	1Y	0.0827989231292
96	LIBOR	1Y	0.0863700049374
97	LIBOR	1Y	0.0853036655322
98	LIBOR	1Y	0.0803750946971
99	LIBOR	1Y	0.087648861715
100	LIBOR	1Y	0.0891932088891
101	LIBOR	1Y	0.089085424781
102	LIBOR	1Y	0.0885445802105
103	LIBOR	1Y	0.086067044997
104	LIBOR	1Y	0.0843410356486
105	LIBOR	1Y	0.0812029589708
106	LIBOR	1Y	0.0846345498065
