days	index	term	rate
1	LIBOR	6M	0.0815049250445
2	LIBOR	6M	0.0864249872237
3	LIBOR	6M	0.0803874908005
4	LIBOR	6M	0.0817268519555
5	LIBOR	6M	0.0888894887542
6	LIBOR	6M	0.08995536152
7	LIBOR	6M	0.0805580953329
8	LIBOR	6M	0.0808550459687
9	LIBOR	6M	0.0842353616409
10	LIBOR	6M	0.0832232891968
11	LIBOR	6M	0.0850956520477
12	LIBOR	6M	0.085294393113
13	LIBOR	6M	0.0840012307732
14	LIBOR	6M	0.086886824962
15	LIBOR	6M	0.0834684935841
16	LIBOR	6M	0.0845338754514
17	LIBOR	6M	0.0885251634939
18	LIBOR	6M	0.0864960721528
19	LIBOR	6M	0.0844795251529
20	LIBOR	6M	0.0867709566094
21	LIBOR	6M	0.0814850697383
22	LIBOR	6M	0.0832623686865
23	LIBOR	6M	0.0817917509628
24	LIBOR	6M	0.0812665472385
25	LIBOR	6M	0.0846351101748
26	LIBOR	6M	0.0809536855936
27	LIBOR	6M	0.0856650899423
28	LIBOR	6M	0.0829337815672
29	LIBOR	6M	0.0852808028527
30	LIBOR	6M	0.0819821639881
31	LIBOR	6M	0.0817988803583
32	LIBOR	6M	0.0889230721206
33	LIBOR	6M	0.085820332272
34	LIBOR	6M	0.0838887722222
35	LIBOR	6M	0.0817150093139
36	LIBOR	6M	0.0874632931346
37	LIBOR	6M	0.0875048320769
38	LIBOR	6M	0.0815689098429
39	LIBOR	6M	0.0857789908694
40	LIBOR	6M	0.0859271053474
41	LIBOR	6M	0.0870238369244
42	LIBOR	6M	0.0821872952914
43	LIBOR	6M	0.0844653063278
44	LIBOR	6M	0.0806605741289
45	LIBOR	6M	0.0828281356585
46	LIBOR	6M	0.0883091626803
47	LIBOR	6M	0.0888843661118
48	LIBOR	6M	0.0846866059688
49	LIBOR	6M	0.0848765666695
50	LIBOR	6M	0.0803782593653
51	LIBOR	6M	0.0859826410616
52	LIBOR	6M	0.088501394826
53	LIBOR	6M	0.0898638980934
54	LIBOR	6M	0.0854406990691
55	LIBOR	6M	0.0867472735912
56	LIBOR	6M	0.0896564786991
57	LIBOR	6M	0.0850951456582
58	LIBOR	6M	0.0864327143477
59	LIBOR	6M	0.0812744705492
60	LIBOR	6M	0.085614086091
61	LIBOR	6M	0.0869183450588
62	LIBOR	6M	0.0805303722963
63	LIBOR	6M	0.0870787704978
64	LIBOR	6M	0.0857715149577
65	LIBOR	6M	0.0811758960735
66	LIBOR	6M	0.0874065205753
67	LIBOR	6M	0.0899052314504
68	LIBOR	6M	0.089362570036
69	LIBOR	6M	0.0876187499463
70	LIBOR	6M	0.0800493264957
71	LIBOR	6M	0.082609648488
72	LIBOR	6M	0.0813167518145
73	LIBOR	6M	0.0823438825709
74	LIBOR	6M	0.0898001687871
